wikiStats|sl

redirects|4004
r|Predloga:Nutritionalvalue|Predloga:Hranilna vrednost
r|Predloga:User gl-1|Predloga:Uporabnik gl-1
r|Predloga:Slika/46. teden 2012|Predloga:Slika/45. teden 2012
r|Predloga:Book cover|Predloga:Naslovnica knjige
r|Predloga:Birth date and age|Predloga:Datum rojstva in starost
r|Predloga:IBDB name|Predloga:Ibdb name
r|Predloga:AcademyAwardBestActor 1981 - 2000|Predloga:AcademyAwardBestActor 1981-2000
r|Predloga:Podatki države SLV|Predloga:Podatki države Salvador
r|Predloga:Vojaštvo-Osebnost/35. teden 2010|Predloga:Vojaštvo-Osebnost/33. teden 2010
r|Predloga:NovemberSelAnniv|Predloga:November
r|Predloga:F1 cars 2005|Predloga:Dirkalniki F1 2005
r|Predloga:Tone|Predloga:Ton
r|Predloga:Tfd|Predloga:Tzb
r|Predloga:Podatki države USSR|Predloga:Podatki države Sovjetska zveza
r|Predloga:Number table sorting/frac/pos1|Predloga:Sortiranje številčne tabele/frac/pos1
r|Predloga:Podatki države USAN|Predloga:Podatki države Unija južnoameriških držav
r|Predloga:IPAblink/dok|Predloga:IPA link/dok
r|Predloga:Podatki države Guinea|Predloga:Podatki države Gvineja
r|Predloga:EU|Predloga:EUR
r|Predloga:Test4|Predloga:Vandalizem
r|Predloga:Podatki države AZE|Predloga:Podatki države Azerbajdžan
r|Predloga:IMDb naslov|Predloga:IMDb-naslov
r|Predloga:Podatki države El Salvador|Predloga:Podatki države Salvador
r|Predloga:Podatki države KWT|Predloga:Podatki države Kuvajt
r|Predloga:Infobox Italian comune|Predloga:Infopolje Občina v Italiji
r|Predloga:Latin alphabet|Predloga:Latinska abeceda
r|Predloga:Podatki države GRN|Predloga:Podatki države Grenada
r|Predloga:SAM|Predloga:WSM
r|Predloga:Infobox Pravo Evropske Unije|Predloga:Infopolje Pravo Evropske unije
r|Predloga:PROTI|Predloga:Proti
r|Predloga:Citation error|Predloga:Napaka pri navajanju
r|Predloga:Podatki države TCH|Predloga:Podatki države Češkoslovaška
r|Predloga:Steady|Predloga:Stagnacija
r|Predloga:Cc-by-sa-3.0|Predloga:CC-BY-SA-3.0
r|Predloga:Podatki države Gruzijska SSR|Predloga:Podatki države Gruzinska SSR
r|Predloga:Province of Treviso|Predloga:Pokrajina Treviso
r|Predloga:Podatki države LIT|Predloga:Podatki države Litva
r|Predloga:Internet-stub|Predloga:Internet-škrbina
r|Predloga:Province of Palermo|Predloga:Pokrajina Palermo
r|Predloga:S-start|Predloga:S-začetek
r|Predloga:Notes|Predloga:Notelist
r|Predloga:Izbrano/22. teden 2008|Predloga:Izbrano/21. teden 2008
r|Predloga:Tableau dépt fr|Predloga:Infopolje Francoski departma
r|Predloga:User lt|Predloga:Uporabnik lt
r|Predloga:Pp-semi-template|Predloga:Zaščitena predloga
r|Predloga:Infopolje Smučarski skakalec|Predloga:Infopolje Smučar
r|Predloga:Spaces|Predloga:Presledki
r|Predloga:Motorcycle race report infobox|Predloga:Infopolje Poročilo dirke MotoGP
r|Predloga:Lang-sv|Predloga:Jezik-sv
r|Predloga:Citation parameter legend|Predloga:Citat legenda parametrov
r|Predloga:Yesno|Predloga:Dane
r|Predloga:NCT|Predloga:OdslejZbirka
r|Predloga:Infobox actor|Predloga:Infopolje Igralec
r|Predloga:Template notes|Predloga:Opombe k predlogi
r|Predloga:Podatki države Južna Afrika|Predloga:Podatki države Republika Južna Afrika
r|Predloga:Jupiter|Predloga:Jupitrove lune
r|Predloga:Podatki države URS|Predloga:Podatki države Sovjetska zveza
r|Predloga:Podatki države ZIM|Predloga:Podatki države Zimbabve
r|Predloga:Basketball-bio-stub|Predloga:Škrbina o košarkarju
r|Predloga:Podatki države Aichi|Predloga:Podatki države Aiči
r|Predloga:Podatki države North Vietnam|Predloga:Podatki države Severni Vietnam
r|Predloga:Infobox cardinalstyles|Predloga:Infopolje Naslavljanje kardinalov
r|Predloga:Lang-en|Predloga:Jezik-en
r|Predloga:Podatki države NIG|Predloga:Podatki države Niger
r|Predloga:F1 cars 1982|Predloga:Dirkalniki F1 1982
