wikiStats|es

redirects|4476
r|Plantilla:Portada Bueno/2763|Plantilla:Portada Bueno/2762
r|Plantilla:Infobox University|Plantilla:Ficha de universidad
r|Plantilla:SI|Plantilla:Sí
r|Plantilla:Argentina|Plantilla:ARG
r|Plantilla:Portada Bueno/2375|Plantilla:Portada Bueno/2374
r|Plantilla:Ficha de iglesia ortodoxa|Plantilla:Ficha de iglesia
r|Plantilla:Geodatos Región Autónoma Atlántico Norte|Plantilla:Geodatos RAAN
r|Plantilla:Crisis en Ucrania|Plantilla:Campaña Crisis en Ucrania
r|Plantilla:NYCS Cranberry|Plantilla:NYCS Eighth far south express
r|Plantilla:Geodatos CUR|Plantilla:Geodatos Curazao
r|Plantilla:Geodatos Sakhalin|Plantilla:Geodatos Sajalín
r|Plantilla:Portada Bueno/1797|Plantilla:Portada Bueno/1796
r|Plantilla:Geodatos YAP|Plantilla:Geodatos Yap
r|Plantilla:Col-end|Plantilla:Final columnas
r|Plantilla:Portada Bueno/2983|Plantilla:Portada Bueno/2982
r|Plantilla:Campaña Aragón 1938|Plantilla:Campaña Ofensiva de Aragón
r|Plantilla:Prisionero de guerra|Plantilla:PDG
r|Plantilla:Mapa de localización de Amazonas|Plantilla:Mapa de localización de Amazonas (Colombia)
r|Plantilla:Airport stat|Plantilla:Ficha de aeropuerto
r|Plantilla:Vgratings|Plantilla:Clasificaciónvj
r|Plantilla:NYCS row|Plantilla:NYCS columna
r|Plantilla:Multi-listen item|Plantilla:Multimedia
r|Plantilla:Nofirma|Plantilla:No firmado
r|Plantilla:PuesArréglalo|Plantilla:Pues arréglalo
r|Plantilla:Ref label|Plantilla:Etiqueta ref
r|Plantilla:TOCderecha|Plantilla:Contenido
r|Plantilla:Ficción|Plantilla:Ficticio
r|Plantilla:EMT Málaga|Plantilla:Línea/EMT Málaga
r|Plantilla:ICD9|Plantilla:CIE-9
r|Plantilla:Bienvenido|Plantilla:Bienvenida
r|Plantilla:Geodatos Estado de Guerrero|Plantilla:Geodatos Guerrero
r|Plantilla:CathEncy|Plantilla:Cita Enciclopedia Católica
r|Plantilla:Campaña rebelión en Libia de 2011|Plantilla:Campaña Guerra de Libia de 2011
r|Plantilla:Geodatos QAT|Plantilla:Geodatos Catar
r|Plantilla:Enlace plantilla|Plantilla:Ep
r|Plantilla:User6|Plantilla:Usuario6
r|Plantilla:Diagrama de arimaa|Plantilla:Arimaa
r|Plantilla:Portada Bueno/2143|Plantilla:Portada Bueno/2142
r|Plantilla:Geodatos Provincia de Imbabura|Plantilla:Geodatos Imbabura
r|Plantilla:Equipo deporte tipocolor|Plantilla:Color secundario de equipo de fútbol americano
r|Plantilla:Ficha de eleccion|Plantilla:Ficha de elección
r|Plantilla:Portada Bueno/2489|Plantilla:Portada Bueno/2488
r|Plantilla:Geodatos Congo RD|Plantilla:Geodatos República Democrática del Congo
r|Plantilla:Mactutor|Plantilla:MacTutor
r|Plantilla:Bronze03|Plantilla:Med-b
r|Plantilla:Navbox|Plantilla:Navegación
r|Plantilla:Portada Bueno/2067|Plantilla:Portada Bueno/2066
r|Plantilla:Col end|Plantilla:Final columnas
r|Plantilla:Geodatos XI Región de Aisén del General Carlos Ibáñez del Campo|Plantilla:Geodatos Aysén
r|Plantilla:Ml|Plantilla:Em
r|Plantilla:PoblRodarte|Plantilla:PoblR
r|Plantilla:Campaña Provincia de Kunduz|Plantilla:Campaña Provincia de Qundūz
r|Plantilla:Portada Bueno/2823|Plantilla:Portada Bueno/2822
r|Plantilla:Infobox judoka|Plantilla:Ficha de luchador
r|Plantilla:EUA|Plantilla:USA
r|Plantilla:Geodatos URSS|Plantilla:Geodatos Unión Soviética
r|Plantilla:SRI|Plantilla:LKA
r|Plantilla:Actualidad portada|Plantilla:Portada:Actualidad
r|Plantilla:VAN|Plantilla:VUT
r|Plantilla:Geodatos Estado Islámico de Irak y el Levante|Plantilla:Geodatos Estado Islámico
r|Plantilla:Wide image|Plantilla:Panorama
r|Plantilla:Taxobox|Plantilla:Ficha de taxón
r|Plantilla:Ficha de familia de idiomas|Plantilla:Ficha de familia de lenguas
