wikiStats|et

redirects|443
r|Mall:Palun jäta see rida rahule (Liivakasti päis)|Mall:Liivakasti päis
r|Mall:Eeskujulik artikkel|Mall:Eeskujulikud artiklid
r|Mall:Olümpia2|Mall:MedalVõistlus
r|Mall:Värvilegend|Mall:Legend
r|Mall:Tnavbar-header|Mall:Tnavbar-päis
r|Mall:Spaces|Mall:Tühikud
r|Mall:A-töökohustused|Mall:AO-töökohustused
r|Mall:EA number|Mall:Eeskujulike artiklite arv
r|Mall:Cite conference|Mall:Cite web
r|Mall:Koeratõug|Mall:Koer
r|Mall:Increase|Mall:Suurenema
r|Mall:TI|Mall:Malli näide
r|Mall:TOCright|Mall:Sisukord paremale
r|Mall:Bull|Mall:•
r|Mall:Riik/Taivan/lipp|Mall:Riik/Taiwan/lipp
r|Mall:Lv|Mall:Lisa viide
r|Mall:Col-break|Mall:Veerg-piir
r|Mall:AddNewSection|Mall:Lisa uus alajaotus
r|Mall:Riik/KDV/lipp|Mall:Riik/Kongo Demokraatlik Vabariik/lipp
r|Mall:Läti Poliitika|Mall:Läti poliitika
r|Mall:Col-2-of-4|Mall:Veerg-4
r|Mall:Valmis|Mall:Korras
r|Mall:Navigational templates|Mall:Mallide navigatsioon
r|Mall:Allikad|Mall:Viita
r|Mall:Taxobox colour|Mall:Taksoboksi värvus
r|Mall:Infobox Poliitik|Mall:Poliitik
r|Mall:MusicBrainz artist|Mall:MusicBrainz nimi
r|Mall:Infobox Computer Hardware Generic/doc|Mall:Infokast arvuti riistvara/doc
r|Mall:Riik/Jamaika/lipp|Mall:Riik/Jamaica/lipp
r|Mall:Citation needed|Mall:Lisa viide
r|Mall:Col-end|Mall:Veerg-lõpp
r|Mall:BrClear|Mall:Puhasta
r|Mall:Review-Christgau/doc|Mall:Christgau arvustus
r|Mall:Col-1-of-4|Mall:Veerg-4
r|Mall:Haiguste info/doc|Mall:Haiguse info/doc
r|Mall:Pp-template|Mall:K-mall
r|Mall:Käsipalliklubi|Mall:Infokast käsipalliklubi
r|Mall:Poola-Rootsi sõda (1600–1611)|Mall:Rootsi-Poola sõda (1600–1611)
r|Mall:Birth date and age|Mall:Sünniaeg ja vanus
r|Mall:Babel-7|Mall:Babel
r|Mall:Riik/Kenya/vapp|Mall:Riik/Keenia/vapp
r|Mall:Infobox rahvusvaheline kosmosejaam|Mall:Infokast rahvusvaheline kosmosejaam
r|Mall:Soomehaldusjaotus|Mall:SoomeHaldusjaotus
r|Mall:TäpsustaAllikas|Mall:Allikata
r|Mall:Infobox Album/color|Mall:Albumi info/värvus
r|Mall:Geraldika.ruA|Mall:Geraldika.ru
r|Mall:Infobox CVG system|Mall:Infobox information appliance
r|Mall:Riik/Venetsueela/lipp|Mall:Riik/Venezuela/lipp
r|Mall:Ümardamine/doc|Mall:ÜmardaÜles/doc
r|Mall:Talk sect|Mall:Arutelu alajaotus
r|Mall:Infobox saar|Mall:Infokast saar
r|Mall:Coordinate/doc|Mall:Koord/doc
r|Mall:Dda|Mall:Surmaaeg ja vanus
r|Mall:Malli näide-1|Mall:Malli näide
r|Mall:SUI|Mall:Šveitsi kantonid
r|Mall:MSN|Mall:Kasutaja:MSN
r|Mall:Infobox/row|Mall:Infokast/rida
r|Mall:Riik/LAV/lipp|Mall:Riik/Lõuna-Aafrika Vabariik/lipp
r|Mall:Wikisource|Mall:Vikitekstid
r|Mall:Riik/USA/lipp|Mall:Riik/Ameerika Ühendriigid/lipp
r|Mall:Ajastud muusikas|Mall:Muusika ajalugu
r|Mall:Commonskat|Mall:Commonsi kategooria
r|Mall:Idaho|Mall:Asendikaart Idaho
r|Mall:Mereportaali päis veesõidukid|Mall:Mereportaali päis
r|Mall:Commonsis|Mall:SVCommons
r|Mall:NPOV|Mall:NeutraalsusVaidlustatud
r|Mall:Taxobox color|Mall:Taksoboksi värvus
r|Mall:Navbox Musical artist/color|Mall:Muusikute navigeerimismall/värvus
r|Mall:Lang|Mall:Keel
r|Mall:Riik/Sitsiilia maakond/lipp|Mall:Riik/Sitsiilia/lipp
r|Mall:Babel-2|Mall:Babel
r|Mall:Kahjum|Mall:Vähenema
r|Mall:PermissionOTRS|Mall:OTRS
r|Mall:Death date|Mall:Surmaaeg
r|Mall:Start date|Mall:Algusaeg
r|Mall:Olümpiavõitjad meeste 4x400 meetri jooksus|Mall:Olümpiavõitjad meeste 4×400 m jooksus
r|Mall:Riik/Mikroneesia Liiduriigid/vapp|Mall:Riik/Mikroneesia/vapp
r|Mall:Infokast WRC sõitja/doc|Mall:Infokast autorallisõitja/doc
r|Mall:Copyvio|Mall:Mahakirjutatud
r|Mall:–|Mall:Ndash
r|Mall:Col-begin|Mall:Veerg-algus
r|Mall:WRC sõitja|Mall:Infokast autorallisõitja
r|Mall:Harry Potter film|Mall:Harry Potteri filmid
r|Mall:Vikiprojekt Muusikud kasutaja|Mall:Vikiprojekti Muusikud kasutaja
r|Mall:Täppisteaduste alamportaalid|Mall:Loodusteaduste alamportaalid
r|Mall:Cite mailing list|Mall:Cite web
r|Mall:Olümpiavõitja|Mall:Sportlane
r|Mall:Läti peministrid|Mall:Läti peaministrid
r|Mall:Jalgpallitreener|Mall:Jalgpallur 2
r|Mall:Kontrolli|Mall:Lisa viide
r|Mall:Infobox Endine riik|Mall:Endine riik
r|Mall:Dokumentatsioon, mall|Mall:Dokumentatsioon
r|Mall:Infobox Album link|Mall:Albumi info/link
r|Mall:Riik/AÜE/lipp|Mall:Riik/Araabia Ühendemiraadid/lipp
r|Mall:Information|Mall:Pildiinfo
r|Mall:Infobox musical artist|Mall:Muusikute info
r|Mall:Nobelrahu|Mall:NobelRahu
r|Mall:Important|Mall:Ettevaatust
r|Mall:NowCommons|Mall:NüüdCommonsis
r|Mall:Football squad player|Mall:JK koosseis mängija
r|Mall:Näitleja infobox|Mall:Näitleja info
r|Mall:Tn|Mall:Malli näide
r|Mall:Fakt|Mall:Lisa viide
r|Mall:Lennukid|Mall:Lennuk
r|Mall:Fossil range|Mall:Fossiilide leiud
r|Mall:SKA|Mall:SVK
r|Mall:Italic title|Mall:Pealkiri kaldkirjas
r|Mall:Olümpiavõitjad meeste 1500 meetri jooksus|Mall:Olümpiavõitjad meeste 1500 m jooksus
r|Mall:Rating-Christgau/doc|Mall:Christgau reiting
r|Mall:Jalgpallur2|Mall:Jalgpallur 2
r|Mall:Infobox Ship Characteristics|Mall:Laeva üldandmed
r|Mall:Tnavbar-collapsible|Mall:Tnavbar-peidetav
r|Mall:Extra album cover 2|Mall:Extra albumi kaas 2
r|Mall:Navbox with columns|Mall:Navmall veergudega
r|Mall:Otepää valla külad|Mall:Otepää vald
r|Mall:Albumi info/color|Mall:Albumi info/värvus
r|Mall:Ipod/doc|Mall:Infobox information appliance/doc
r|Mall:Haiguste teabekast|Mall:Haiguse info
r|Mall:Päästeteenistus|Mall:EV päästeteenistus
r|Mall:Riik/Moldova Vabariik/vapp|Mall:Riik/Moldova/vapp
r|Mall:Col-4|Mall:Veerg-4
r|Mall:Commons category|Mall:Commonsi kategooria
r|Mall:Riik/Sardiinia maakond/lipp|Mall:Riik/Sardiinia/lipp
r|Mall:Singles|Mall:Singlid
r|Mall:Surnud viide|Mall:Katkine viide
r|Mall:LatiPoliitika|Mall:Läti poliitika
r|Mall:Panoraampilt|Mall:Panoraam
r|Mall:Olümpiavõitja/doc|Mall:Sportlane/doc
r|Mall:Oota|Mall:Oodake
r|Mall:Todo|Mall:Tööd
r|Mall:Lang/doc|Mall:Keel/doc
r|Mall:Olümpia1|Mall:MedalOlümpia
r|Mall:KMP|Mall:Kahtluse all
r|Mall:Suurusjärk|Mall:Order of magnitude
r|Mall:Col-3|Mall:Veerg-3
r|Mall:Valgustusseadmed|Mall:Lambid
r|Mall:Keskkonna|Mall:Keskkonnaregister
r|Mall:Age|Mall:Vanus
r|Mall:T1|Mall:Malli näide
r|Mall:Football squad end|Mall:JK koosseis lõpp
r|Mall:Rating|Mall:Reiting
r|Mall:Poti|Mall:Pada
r|Mall:Round16|Mall:Turniiritabel16
r|Mall:Documentation subpage|Mall:Dokumentatsiooni alamleht
r|Mall:See also|Mall:Vaata ka
r|Mall:Eesti postmark|Mall:EestiPostmark
r|Mall:Cite document|Mall:Cite journal
r|Mall:Iluuisutaja/doc|Mall:Infokast iluuisutaja/doc
r|Mall:Kasum|Mall:Suurenema
r|Mall:Infobox Song/color|Mall:Laulu info/värvus
r|Mall:A-kollektiivne|Mall:AO-kollektiivne
r|Mall:ToCommons|Mall:VikiCommonsisse
r|Mall:A-lõppenud|Mall:AO-lõppenud
r|Mall:Ümardamine|Mall:ÜmardaÜles
r|Mall:Babel-8|Mall:Babel
r|Mall:Infobox President|Mall:Infokast president
r|Mall:Kaasajasta|Mall:Ajakohasta
r|Mall:Cite press release|Mall:Cite web
r|Mall:Wikibooks|Mall:Vikiõpikutes
r|Mall:Tänasel kuupäeval sündinud muusikainimesed|Portaal:Muusika/Sündinud
r|Mall:Pilli infobox|Mall:Muusikainstrument
r|Mall:Vokaalid|Mall:VokaalidIPA
r|Mall:NYSE|Mall:Nyse
r|Mall:Profit|Mall:Suurenema
r|Mall:Commonscat|Mall:Commonsi kategooria
r|Mall:Postmark|Mall:EestiPostmark
r|Mall:Col-3-of-4|Mall:Veerg-4
r|Mall:Rating-5|Mall:Reiting
r|Mall:Babel-3|Mall:Babel
r|Mall:Purge|Mall:Puhastama
r|Mall:Collapsible list|Mall:Peidetav loend
r|Mall:Template|Mall:Malli näide
r|Mall:Vikisõnaraamatus|Mall:Vikisõnastikus
r|Mall:Doc|Mall:Dokumentatsioon
r|Mall:Riik/New York/lipp|Mall:Riik/New Yorgi osariik/lipp
r|Mall:Valmis/doc|Mall:Korras/doc
r|Mall:Tasks|Mall:Midateha
r|Mall:Jahrhundertnavigation|Mall:Aasta loendi navigeerimismall
r|Mall:Laienda|Mall:Pooleli
r|Mall:Col-4-of-4|Mall:Veerg-4
r|Mall:Vikitsitaadid|Mall:Vikitsitaat
r|Mall:Haiguste info|Mall:Haiguse info
r|Mall:Dot|Mall:·
r|Mall:Nobelmeditsiin|Mall:NobelMeditsiin
r|Mall:Kõrgessaare vald|Mall:Hiiu vald
r|Mall:Kriminaalromaan vanast Tallinnast|Mall:Apteeker Melchiori lood
r|Mall:Täpsustusleht|Mall:Täpsustuslehekülg
r|Mall:Death date and age|Mall:Surmaaeg ja vanus
r|Mall:Resize|Mall:Väiksem
r|Mall:Infobox software|Mall:Tarkvara
r|Mall:Col-2|Mall:Veerg-2
r|Mall:ViiCommonsisse|Mall:VikiCommonsisse
r|Mall:Frac|Mall:Murd
r|Mall:Mereportaali päis teadused|Mall:Mereportaali päis
r|Mall:Nobelfüüsika|Mall:NobelFüüsika
