wikiStats|fr

redirects|11592
r|Modèle:Territoire de la capitale australienne|Modèle:AU-ACT
r|Modèle:Commentaire personnel|Modèle:Commentaire perso
r|Modèle:Country data Kuwait|Modèle:Country data Koweït
r|Modèle:Catégorie Catholicisme|Modèle:Catégorie catholicisme
r|Modèle:Groupe H de la Coupe du monde de football 2014/Belgique - Corée du Sud|Modèle:Groupe H de la Coupe du monde de football 2014/Corée du Sud - Belgique
r|Modèle:Palette Ordre chronologique au cinéma|Modèle:Palette Films par époque de l'action
r|Modèle:HBeff sélection début/Documentation|Modèle:HBeff sélection joueur/Documentation
r|Modèle:Ligne Semtao/couleur ligne/Documentation|Modèle:Ligne Tao/couleur ligne/Documentation
r|Modèle:IUCN PE|Modèle:UICN PE
r|Modèle:Utilisateur religion bouddhiste|Modèle:Utilisateur Religion/Bouddhiste
r|Modèle:Portail Espéranto|Modèle:Portail espéranto
r|Modèle:Palette Équipes de la CAF|Modèle:Équipes de la CAF
r|Modèle:User gl-3|Modèle:Utilisateur gl-3
r|Modèle:Bondi|Modèle:Bleu bondi
r|Modèle:DateJV|Modèle:Date de sortie de jeu vidéo
r|Modèle:Début bloc solidaire|Modèle:Début de bloc solidaire
r|Modèle:NED|Modèle:Pays-Bas
r|Modèle:Azéri|Modèle:En azéri
r|Modèle:Catégorie Entre-deux-guerres|Modèle:Catégorie entre-deux-guerres
r|Modèle:São Tomé-et-Principe VB|Modèle:Sao Tomé-et-Principe VB
r|Modèle:Données/Ancien Canton de Vitteaux/évolution population|Modèle:Données/Canton de Vitteaux/évolution population
r|Modèle:CX|Modèle:Île Christmas
r|Modèle:Portail Culture|Modèle:Portail culture
r|Modèle:CC (ISO)|Modèle:Îles Cocos
r|Modèle:Ébauche/paramètres ancienne commune française|Modèle:Ébauche/paramètres ancienne commune de France
r|Modèle:Ébauche/Paramètre Nom de famille|Modèle:Ébauche/paramètres nom de famille
r|Modèle:User br-0|Modèle:Utilisateur br-0
r|Modèle:User tlh-4|Modèle:Utilisateur tlh-4
r|Modèle:75%|Modèle:3/4
r|Modèle:User bg-4|Modèle:Utilisateur bg-4
r|Modèle:Géolocalisation/Quindio/Documentation|Modèle:Géolocalisation/Quindío/Documentation
r|Modèle:Ébauche/paramètres New York|Modèle:Ébauche/paramètres New York (État)
r|Modèle:RFA-d|Modèle:FRG-d
