wikiStats|cs

redirects|548
r|Šablona:Částečně nezávislé státy|Šablona:Státy s částečným mezinárodním uznáním
r|Šablona:Vyznamenat/název/54010|Šablona:Vyznamenat/název/54011
r|Šablona:Experimenty 2|Šablona:Experimenty2
r|Šablona:Infobox Železniční tunel|Šablona:Infobox železniční tunel
r|Šablona:Infobox postava|Šablona:Infobox - postava
r|Šablona:Procesory od AMD|Šablona:Procesory společnosti AMD
r|Šablona:Citace časopisu|Šablona:Citace periodika
r|Šablona:Nositelé Nobelovy ceny míru 1976-2000|Šablona:Nositelé Nobelovy ceny míru 1976–2000
r|Šablona:Předsednictvo SFRJ 1979 - 1984|Šablona:Předsednictvo SFRJ 1979–1984
r|Šablona:GPU od AMD|Šablona:GPU společnosti AMD
r|Šablona:Lh|Šablona:Odkaz hokejová reprezentace
r|Šablona:Vikariáty Diecéze českobudějovické|Šablona:Vikariáty českobudějovické diecéze
r|Šablona:Šestnáct království|Šablona:Šestnáct států
r|Šablona:Tnavbar|Šablona:Navbar
r|Šablona:Autoritní kontrola/ORCID|Šablona:Autoritní data/ORCID
r|Šablona:Města v Caraș-Severin|Šablona:Župa Caraș-Severin
r|Šablona:User Karvina|Šablona:User Karviná
r|Šablona:Motorový vůz|Šablona:Infobox Motorový vůz
r|Šablona:Oscar - nejlepší herečka 1941-1960|Šablona:Oscar – nejlepší herečka 1941–1960
r|Šablona:Infobox region|Šablona:Infobox - region
r|Šablona:Infobox božstvo|Šablona:Infobox - božstvo
r|Šablona:Facebook osoba|Šablona:Facebook
r|Šablona:Fbu|Šablona:Odkaz fotbalová reprezentace pod XX let
r|Šablona:Pražské metro A|Šablona:Linka A (metro v Praze)
r|Šablona:Yardbirds|Šablona:The Yardbirds
r|Šablona:Fbu-rt|Šablona:Odkaz fotbalová reprezentace pod XX let/Fbu-rt
r|Šablona:Lhw18|Šablona:Ihw18
r|Šablona:Přesun na Wikislovník|Šablona:Přesunout na Wikislovník
r|Šablona:Oscar - nejlepší herec ve vedlejší roli 1961-1980|Šablona:Oscar – nejlepší herec ve vedlejší roli 1961–1980
r|Šablona:Rozšířit část|Šablona:Pahýl část
r|Šablona:Autoritní kontrola/VIAF|Šablona:Autoritní data/VIAF
r|Šablona:Legend|Šablona:Legenda
r|Šablona:Uzurpováno|Šablona:Uzurpace
r|Šablona:Premiéři Jugoslávie 1992 - 2003|Šablona:Premiéři Jugoslávie 1992–2003
r|Šablona:VfD/doc|Šablona:AfD/doc
r|Šablona:Oscar - nejlepší herečka ve vedlejší roli 2001-2020|Šablona:Oscar – nejlepší herečka ve vedlejší roli 2001–2020
r|Šablona:Infobox politická strana/křesla|Šablona:Infobox politická strana/mandáty
r|Šablona:LocMap Čína|Šablona:LocMap Čínská lidová republika
r|Šablona:Měkké přesměrování|Šablona:Softredirect
r|Šablona:Infobox Album|Šablona:Infobox - album
r|Šablona:Fotometrické veličiny|Šablona:Fotometrické a radiometrické veličiny
r|Šablona:Gsd|Šablona:Gregorian serial date
r|Šablona:Vyznamenat/seznam/54060|Šablona:Vyznamenat/seznam/54015
r|Šablona:3RoundBracket-Byes|Šablona:Turnaj8-1-volný los
r|Šablona:Futbal 2012/2013|Šablona:ŠK Slovan Bratislava 2012/2013
r|Šablona:AfD-oznámení|Šablona:Afd-oznámení
r|Šablona:Infobox Osoba žena/doc|Šablona:Infobox - osoba žena/doc
r|Šablona:Spoiler začátek|Šablona:Spoiler
r|Šablona:Premiéři Jugoslávie 1945 - 1992|Šablona:Premiéři Jugoslávie 1945–1992
r|Šablona:LocMap Atlantik|Šablona:LocMap Atlantský oceán
r|Šablona:Autoritní kontrola/ISNI|Šablona:Autoritní data/ISNI
r|Šablona:Politické směry|Šablona:Ideologie
r|Šablona:Produkty firmy AMD|Šablona:Produkty společnosti AMD
r|Šablona:Společenstvo prstenu|Šablona:Společenstvo Prstenu
r|Šablona:Dos|Šablona:AfD
r|Šablona:Commonsspecies2/doc|Šablona:Speciestab/doc
r|Šablona:Š|Šablona:Šablona
r|Šablona:Infobox světové dědictví/doc|Šablona:Infobox - světové dědictví/doc
r|Šablona:Oscar - nejlepší herec 2001-2020|Šablona:Oscar – nejlepší herec 2001–2020
r|Šablona:Lokomotiva|Šablona:Infobox lokomotiva
r|Šablona:Izraelské národní parky|Šablona:Národní parky v Izraeli
r|Šablona:Chybí zdroj|Šablona:Doplňte zdroj
r|Šablona:Finská hokejová liga|Šablona:Finská liga ledního hokeje
r|Šablona:Oscar - nejlepší film 2001-2020|Šablona:Oscar – nejlepší film 2001–2020
r|Šablona:Námořnictvo|Šablona:Vlajka námořnictva a název
r|Šablona:Oscar - nejlepší herec 1941-1960|Šablona:Oscar – nejlepší herec 1941–1960
r|Šablona:Operace izraelské armády během války v letech 1948-1949|Šablona:Operace izraelské armády během války v letech 1948–1949
r|Šablona:Infobox sídlo|Šablona:Infobox - sídlo
r|Šablona:Soft redirect|Šablona:Softredirect
r|Šablona:Králové Taj (Šestnáct království)|Šablona:Králové Taj (Šestnáct států)
r|Šablona:Moskevské metro|Šablona:Metro v Moskvě
r|Šablona:Oscar - nejlepší herec 1961-1980|Šablona:Oscar – nejlepší herec 1961–1980
r|Šablona:Oběti letecké havárie|Šablona:Oběti letecké havárie československých hokejistů
r|Šablona:Nositelé Nobelovy ceny za fyziku 1976-2000|Šablona:Nositelé Nobelovy ceny za fyziku 1976–2000
r|Šablona:Lhw18-rt|Šablona:Ihw18-rt
r|Šablona:Color box|Šablona:Legenda
r|Šablona:ATP World Tour 500 series|Šablona:ATP World Tour 500
r|Šablona:Userboxbottom|Šablona:Nálepky konec
r|Šablona:Infobox Válečná loď|Šablona:Infobox - válečná loď
r|Šablona:DoS|Šablona:AfD
r|Šablona:TwoLegStart|Šablona:TwoLeg Start
r|Šablona:UU|Šablona:Urgentně upravit
r|Šablona:Uu|Šablona:Urgentně upravit
r|Šablona:VV|Šablona:Vlastní výzkum
r|Šablona:Dokumentace Podstránka/doc|Šablona:Podstránka s dokumentací/doc
r|Šablona:The Velvet Underground and Nico|Šablona:The Velvet Underground & Nico
r|Šablona:Více|Šablona:Celý článek
r|Šablona:Documentation|Šablona:Dokumentace
r|Šablona:LocMap USA Kalifornie|Šablona:LocMap Kalifornie
r|Šablona:Urgentně zpochybněná významnost|Šablona:Významnost
r|Šablona:Disambig|Šablona:Rozcestník
r|Šablona:HlavičkaDiskuse|Šablona:Hlavička diskuse
r|Šablona:Hlavní|Šablona:Hlavní článek
r|Šablona:Vikariáty Diecéze královéhradecké|Šablona:Vikariáty královéhradecké diecéze
r|Šablona:Probíhá ověřování|Šablona:Čeká se na potvrzení OTRS
r|Šablona:Kontinentální hokejová liga (sezony)|Šablona:Kontinentální liga ledního hokeje (sezony)
r|Šablona:Město Albrechtice|Šablona:Město Město Albrechtice
r|Šablona:Konečné pořadí|Šablona:Pořadí
r|Šablona:Těžké křižníky třídy Mogami|Šablona:Těžké křižníky japonského císařského námořnictva
r|Šablona:Oscar - nejlepší herečka ve vedlejší roli 1941-1960|Šablona:Oscar – nejlepší herečka ve vedlejší roli 1941–1960
r|Šablona:Commonsspecies2|Šablona:Speciestab
r|Šablona:Infobox Biografie|Šablona:Infobox - osoba
r|Šablona:RC|Šablona:OznámeníRC
r|Šablona:Infobox Příjmení|Šablona:Infobox - příjmení
r|Šablona:Tl|Šablona:Šablona
r|Šablona:Diskuse o smazání|Šablona:AfD
r|Šablona:Fbwu-rt|Šablona:Infobox Ročník fotbalového turnaje/Fbwu-rt
r|Šablona:Flag|Šablona:Flagicon
r|Šablona:Main|Šablona:Hlavní článek
r|Šablona:Přejmenování kategorie|Šablona:Přejmenovat kategorii
r|Šablona:Nositelé Nobelovy ceny míru 1926-1950|Šablona:Nositelé Nobelovy ceny míru 1926–1950
r|Šablona:Basketbal v České republice|Šablona:Český basketbal
r|Šablona:Propagace|Šablona:Reklama
r|Šablona:Nositelé Nobelovy ceny za fyziku 2001-2025|Šablona:Nositelé Nobelovy ceny za fyziku 2001–2025
r|Šablona:Ihj-rt|Šablona:Lhj-rt
