wikiStats|ko

redirects|5911
r|틀:Birth date and age|틀:출생일과 나이
r|틀:진(위진)나라의 역대 황제|틀:진 (위진)나라의 역대 황제
r|틀:나고야 가이드웨이 버스 가이드웨이 버스 시다미 선|틀:나고야 가이드웨이 버스 시다미 선
r|틀:글로벌대백과|틀:글로벌세계대백과사전
r|틀:식품 화학|틀:식품화학
r|틀:ANTo|틀:ATG
r|틀:하루히|틀:스즈미야 하루히 시리즈
r|틀:1960년 동계 올림픽 참가국|틀:1960년 동계 올림픽 선수단
r|틀:ALG|틀:DZA
r|틀:축구단 슈테우아 부쿠레슈티|틀:축구단 스테아우아 부쿠레슈티
r|틀:신동엽창작상 수상자(2000년 – 2009년)|틀:신동엽문학상 수상자(2000년 – 2009년)
r|틀:다른 표기 안내|틀:통용 표기 목록
r|틀:나라자료 MOZ|틀:나라자료 모잠비크
r|틀:Man/doc|틀:Man/설명문서
r|틀:007 영화 시리즈|틀:제임스 본드 영화
r|틀:바누아투|틀:바누아투의 행정 구역
r|틀:DiseasesDB|틀:질병DB
r|틀:1966년 FIFA 월드컵 참가팀|틀:1966년 FIFA 월드컵 참가국
r|틀:나라자료 IOP|틀:나라자료 올림픽 독립 선수단
r|틀:Col-3-of-4|틀:Col-4
r|틀:나라자료 HND|틀:나라자료 온두라스
r|틀:고속도로 정보|틀:도로 정보
r|틀:풋볼 매니저 시리즈|틀:풋볼 매니저
r|틀:강원|틀:강원도 (남)
r|틀:1932년 동계 올림픽 스피드 스케이팅|틀:1932년 동계 올림픽 스피드스케이팅
r|틀:Rollingstone artist|틀:롤링스톤 예술가
r|틀:한자 개관|틀:한자 둘러보기
r|틀:위첨자|틀:위 첨자
r|틀:들머리 상자/열기/35|틀:들머리 상자/35
r|틀:Ign|틀:IGN
r|틀:나라자료 오스트리아-헝가리|틀:나라자료 오스트리아-헝가리 제국
r|틀:MacTutor Biography|틀:MacTutor
r|틀:Main other|틀:일반 기타
r|틀:무승부|틀:비김
r|틀:나라자료 스타브로폴 크라이|틀:나라자료 스타브로폴 지방
r|틀:Template|틀:틀
r|틀:가톨릭 교구 정보/설명문서|틀:교구 정보/설명문서
r|틀:위키화|틀:정리 필요
r|틀:WWE diva|틀:WWE 디바
r|틀:중립필요|틀:중립 필요
r|틀:Navbox subgroups|틀:둘러보기 상자/중첩
r|틀:WWE Divas|틀:WWE 디바
r|틀:독일의 외무장관|틀:독일의 외무부 장관
r|틀:한국 프로 야구 타점왕|틀:한국 프로 야구 최다 타점
r|틀:나라자료 CPV|틀:나라자료 카보베르데
r|틀:Col-2-of-5|틀:Col-5
r|틀:올림픽 정보 탕가니카|틀:올림픽 정보 탄자니아 연합 공화국
r|틀:PGATour player|틀:PGA투어 선수
r|틀:랜드스반카데일딘|틀:우르발스데일드
r|틀:Fb team Málaga|틀:축구단 말라가
r|틀:FIFA player|틀:FIFA 선수
r|틀:KBS 9시 뉴스|틀:KBS 뉴스 9
r|틀:추가 트랙 목록/설명문서|틀:추가 곡 목록/설명문서
r|틀:K리그 시즌|틀:K리그 클래식 시즌
r|틀:나라자료 차이니즈 타이베이|틀:나라자료 중화 타이베이
r|틀:대한민국 대도시|틀:대한민국 대도시 정보
r|틀:나라자료 안티과 바부다|틀:나라자료 앤티가 바부다
r|틀:저작권?/설명문서|틀:저작권 의심/설명문서
r|틀:축구단 나우치쿠 카피바리비|틀:축구단 나우치쿠
r|틀:태국의 총리|틀:타이의 총리
r|틀:그루지야의 행정 구역|틀:조지아의 행정 구역
r|틀:위키|틀:위키백과 문서
r|틀:분할 토론|틀:분할 필요
r|틀:신동엽창작상 수상자(1990년 – 1999년)|틀:신동엽문학상 수상자(1990년 – 1999년)
r|틀:Demography|틀:인구 통계
r|틀:축구단 헤르타 BSC 베를린|틀:축구단 헤르타 베를린
r|틀:대한민국의 마이스터 고등학교|틀:대한민국의 산업수요 맞춤형 고등학교
r|틀:셜록 홈즈의 추억|틀:셜록 홈즈의 회상록
r|틀:현재 G20 국가 수반|틀:현재 G20의 지도자
r|틀:나라자료 PHI|틀:나라자료 필리핀
r|틀:문화방송 FM4U 라디오 프로그램|틀:문화방송의 라디오 프로그램
r|틀:만화애니 정보/극장애니|틀:만화애니 정보/영화
r|틀:그루지야의 국가|틀:조지아의 국가
r|틀:나라자료 SER|틀:나라자료 세르비아
r|틀:나라자료 ETH|틀:나라자료 에티오피아
r|틀:Infobox single|틀:싱글 정보
r|틀:정당색/GB|틀:정당색/영국
r|틀:정수 190|틀:정수/190
r|틀:프리온 질병|틀:전염성해면상뇌병증
r|틀:올림픽 정보 영국령 서인도 제도|틀:올림픽 정보 영국령 서인도
r|틀:IRI|틀:IRN
r|틀:저널인용|틀:저널 인용
r|틀:Weather box/colt|틀:기후 정보/colt
r|틀:Fb team Sevilla|틀:축구단 세비야
r|틀:1970,80년대 선라이즈의 작품 목록|틀:1970·80년대 선라이즈의 작품 목록
r|틀:User Arbitrator|틀:중재위원 사용자
r|틀:정보 UN|틀:UN 정보
r|틀:정보 상자|틀:정보상자
r|틀:축구단 알 알리|틀:축구단 알아흘리
r|틀:Country flag IOC alias AFG|틀:올림픽국기 AFG
r|틀:멕시코의 대통령|틀:멕시코의 국가 원수
r|틀:나라자료 HUN|틀:나라자료 헝가리
r|틀:Fb team Sporting de Gijón|틀:축구단 스포르팅 히혼
r|틀:나라자료 TKS|틀:나라자료 터크스 케이커스 제도
r|틀:나라자료 KGZ|틀:나라자료 키르기스스탄
r|틀:중립성 문장|틀:중립 필요 문장
r|틀:WWE 크루져급 챔피언십|틀:WWE 크루저웨이트 챔피언십
r|틀:Infobox Album|틀:음반 정보
r|틀:Certification Table Entry/Sales/GermanPeriod|틀:인증표/판매량/독일
r|틀:나라자료 FIG|틀:나라자료 피지
r|틀:US patent|틀:미국 특허
r|틀:포털 아랫고리/자연과학|틀:들머리 아랫고리/자연과학
r|틀:캄보디아의 행정구역|틀:캄보디아의 행정 구역
r|틀:보스니아 헤르체고비나|틀:보스니아 헤르체고비나의 행정 구역
r|틀:중립알림|틀:중립 알림
r|틀:나라자료 류큐 왕국|틀:나라자료 류큐국
r|틀:1976년 동계 올림픽 참가국|틀:1976년 동계 올림픽 선수단
r|틀:산둥성의 행정구역|틀:산둥 성
r|틀:서울특별시의 하천|틀:서울특별시의 물길
r|틀:감비아의 주|틀:감비아의 행정 구역
r|틀:Nsd|틀:파일 출처 없음
r|틀:텔레비전 방송 프로그램 정보|틀:텔레비전 프로그램 정보
r|틀:성 소수자 프로젝트|틀:성소수자 프로젝트
r|틀:영국의 법과 미국혁명|틀:영국의 법과 미국 혁명
r|틀:나라자료 북한|틀:나라자료 조선민주주의인민공화국
r|틀:나라자료 투르크멘 소비에트 사회주의 공화국|틀:나라자료 투르크멘 SSR
r|틀:장난알림|틀:되돌림
r|틀:대한민국의 국립중앙박물관|틀:대한민국의 국립 박물관
r|틀:1950년 FIFA 월드컵 남미 지역 예선 참가국|틀:1950년 FIFA 월드컵 예선 참가국
