wikiStats|el

redirects|1161
r|Πρότυπο:ROM|Πρότυπο:ROU
r|Πρότυπο:Fb r width 15|Πρότυπο:Fb r width 16
r|Πρότυπο:Ar icon|Πρότυπο:Ar
r|Πρότυπο:S-line/ΟΣΕ left/Αλεξανδρούπολη Λιμάνι - Δίκαια|Πρότυπο:S-line/ΤΡΑΙΝΟΣΕ left/Αλεξανδρούπολη Λιμάνι - Δίκαια
r|Πρότυπο:Καλλικράτης-Πελοπόννησος|Πρότυπο:Περιφέρεια Πελοποννήσου
r|Πρότυπο:S-line/Μετρό Θεσσαλονίκης right/1|Πρότυπο:S-line/Μετρό Θεσσαλονίκης right/Μετρό
r|Πρότυπο:User tr-1|Πρότυπο:Χρήστης tr-1
r|Πρότυπο:Ξεπερασμένο|Πρότυπο:Ενημέρωση
r|Πρότυπο:Πληροφορίες μάχης|Πρότυπο:Πληροφορίες στρατιωτικής σύγκρουσης
r|Πρότυπο:WikimediaForPortals|Πρότυπο:WikimediaΓιαΠύλες
r|Πρότυπο:Toyota|Πρότυπο:Μοντέλα Toyota
r|Πρότυπο:Καλλικράτης-Στερεά Ελλάδα|Πρότυπο:Περιφέρεια Στερεάς Ελλάδας
r|Πρότυπο:Κουτί πληροφοριών Σημαίας|Πρότυπο:Κουτί πληροφοριών σημαίας
r|Πρότυπο:Καλαθοσφαιριστές ΑΓΟΡ|Πρότυπο:Καλαθοσφαιριστές Ρεθύμνου
r|Πρότυπο:Infobox militant organization|Πρότυπο:Πληροφορίες παραστρατιωτικής οργάνωσης
r|Πρότυπο:Κουτί πληροφοριών συλλόγου πετοσφαίρισης|Πρότυπο:Infobox volleyball club
r|Πρότυπο:Wiktionary|Πρότυπο:Βικιλεξικό
r|Πρότυπο:KSA|Πρότυπο:SAU
r|Πρότυπο:Κουτί πληροφοριών πολιτικού|Πρότυπο:Πληροφορίες πολιτικού
r|Πρότυπο:Birth date|Πρότυπο:Ημερομηνία γέννησης
r|Πρότυπο:Wikiquote|Πρότυπο:Βικιφθέγματα
r|Πρότυπο:Issn|Πρότυπο:ISSN
r|Πρότυπο:Παρ|Πρότυπο:Δτρ
r|Πρότυπο:Gr|Πρότυπο:El
r|Πρότυπο:Conservative Party (UK)/meta/color|Πρότυπο:Συντηρητικό Κόμμα (ΗΒ)/meta/color
r|Πρότυπο:Carton rouge|Πρότυπο:Κόκκινη κάρτα
r|Πρότυπο:Γ.Σ. Δόξα Δράμας|Πρότυπο:Δόξα Δράμας
r|Πρότυπο:Χρήστης παναθηναϊκός|Πρότυπο:Χρήστης Παναθηναϊκός
r|Πρότυπο:BAN|Πρότυπο:BGD
r|Πρότυπο:Infobox software|Πρότυπο:Πληροφορίες λογισμικού
r|Πρότυπο:Νομός Αττικής|Πρότυπο:Περιφέρεια Αττικής
r|Πρότυπο:Bienvenue|Πρότυπο:Καλωσόρισμα στα Γαλλικά
r|Πρότυπο:PHI|Πρότυπο:PHL
r|Πρότυπο:Κατάλογος Θανάτων|Πρότυπο:Κατάλογος θανάτων
r|Πρότυπο:Infobox national basketball team/τεκμηρίωση|Πρότυπο:Κουτί πληροφοριών εθνικής ομάδας καλαθοσφαίρισης/τεκμηρίωση
r|Πρότυπο:Κυπριακά πολιτικά κόμματα|Πρότυπο:Κυπριακά κοινοβουλευτικά κόμματα
r|Πρότυπο:Θε|Πρότυπο:Θέατρο-επέκταση
r|Πρότυπο:Γραμμή Θεσσαλονίκης - Λαρίσης|Πρότυπο:Γραμμή 1 Προαστιακός Θεσσαλονίκης
r|Πρότυπο:Electiontable|Πρότυπο:Πίνακας εκλογών
r|Πρότυπο:Χρήστης Σαουδική Αραβία|Πρότυπο:Χρήστης sa
r|Πρότυπο:Σκωτικό Συντηρητικό Κόμμα/meta/color|Πρότυπο:Συντηρητικό Κόμμα (ΗΒ)/meta/color
r|Πρότυπο:Fp/τεκμηρίωση|Πρότυπο:Football position/τεκμηρίωση
r|Πρότυπο:Documentation/end box2|Πρότυπο:Τεκμηρίωση προτύπου/end box2
r|Πρότυπο:Nutshell|Πρότυπο:Με λίγα λόγια
r|Πρότυπο:BMW|Πρότυπο:Μοντέλα αυτοκινήτων BMW
r|Πρότυπο:Α' κατηγορία πετοσφαίρισης ανδρών Κύπρου|Πρότυπο:Α΄ κατηγορία πετοσφαίρισης ανδρών Κύπρου
r|Πρότυπο:Ubl|Πρότυπο:Unbulleted list
r|Πρότυπο:Commonscat-inline|Πρότυπο:Commonscat2
r|Πρότυπο:Ειδοποίηση δοκιμή|Πρότυπο:Δοκιμή-1
r|Πρότυπο:ASA|Πρότυπο:ASM
r|Πρότυπο:User ja|Πρότυπο:Χρήστης ja
r|Πρότυπο:Ορθόδοξη Εκκλησία της Ελλάδος|Πρότυπο:Ελληνορθόδοξη Εκκλησία
r|Πρότυπο:LBA|Πρότυπο:LBY
