id,lang,prefix,total,good,views,edits,users,admins,ts,loclang,images,loclanglink,activeusers,version,si_mainpage,si_base,si_sitename,si_generator,si_phpversion,si_phpsapi,si_dbtype,si_dbversion,si_rev,si_case,si_rights,si_lang,si_fallback8bitEncoding,si_writeapi,si_timezone,si_timeoffset,si_articlepath,si_scriptpath,si_script,si_variantarticlepath,si_server,si_wikiid,si_time,method,http,status,si_linkprefix,si_linktrail,si_git-hash,si_logo,si_favicon,si_servername,si_git-branch,ratio
46,Indonesian,id,4053793,747098,49,28082309,1597073,48,"2025-10-19 00:12:29","Bahasa Indonesia",64076,Bahasa_Indonesia,7503,1.28.0-wmf.13,"Halaman Utama",https://id.wikipedia.org/wiki/Halaman_Utama,Wikipedia,"MediaWiki 1.45.0-wmf.23",8.1.31,fpm-fcgi,mysql,10.6.21-MariaDB-log,,,,id,,,UTC,,/wiki/$1,/w,/w/index.php,,//id.wikipedia.org,idwiki,,8,200,a,,,,//id.wikipedia.org/static/images/project-logos/idwiki.png,https://id.wikipedia.org/static/favicon/wikipedia.ico,id.wikipedia.org,,0.1843
25,Korean,ko,3465576,724237,38991,40684301,940673,27,"2025-10-19 00:12:25",&#54620;&#44397;&#50612;,14892,&#54620;&#44397;&#50612;,6819,1.28.0-wmf.13,ìœ„í‚¤ë°±ê³¼:ëŒ€ë¬¸,https://ko.wikipedia.org/wiki/%EC%9C%84%ED%82%A4%EB%B0%B1%EA%B3%BC:%EB%8C%80%EB%AC%B8,ìœ„í‚¤ë°±ê³¼,"MediaWiki 1.45.0-wmf.23",8.1.31,fpm-fcgi,mysql,10.6.20-MariaDB-log,,,,ko,,,Asia/Seoul,,/wiki/$1,/w,/w/index.php,,//ko.wikipedia.org,kowiki,,8,200,a,,,,//ko.wikipedia.org/static/images/project-logos/kowiki.png,https://ko.wikipedia.org/static/favicon/wikipedia.ico,ko.wikipedia.org,,0.2090
50,Serbian,sr,4213772,711679,3862,30443710,484961,15,"2025-10-19 00:12:27","&#1057;&#1088;&#1087;&#1089;&#1082;&#1080; / Srpski",39672,&#1057;&#1088;&#1087;&#1089;&#1082;&#1080;_&#1112;&#1077;&#1079;&#1080;&#1082;,2159,1.28.0-wmf.13,"Ð“Ð»Ð°Ð²Ð½Ð° ÑÑ‚Ñ€Ð°Ð½Ð°",https://sr.wikipedia.org/wiki/%D0%93%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0_%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B0,Ð’Ð¸ÐºÐ¸Ð¿ÐµÐ´Ð¸Ñ˜Ð°,"MediaWiki 1.45.0-wmf.23",8.1.31,fpm-fcgi,mysql,10.6.20-MariaDB-log,,,,sr,,,Europe/Berlin,,/wiki/$1,/w,/w/index.php,,//sr.wikipedia.org,srwiki,,8,200,a,,,,//sr.wikipedia.org/static/images/project-logos/srwiki.png,https://sr.wikipedia.org/static/favicon/wikipedia.ico,sr.wikipedia.org,,0.1689
21,"Norwegian (Bokm&#229;l)",no,1881423,657717,152,25359477,674469,41,"2025-10-19 00:12:23","Norsk (Bokm&#229;l)",4,Norsk,2829,1.28.0-wmf.13,Forside,https://no.wikipedia.org/wiki/Forside,Wikipedia,"MediaWiki 1.45.0-wmf.23",8.1.31,fpm-fcgi,mysql,10.6.20-MariaDB-log,,,,nb,,,Europe/Berlin,,/wiki/$1,/w,/w/index.php,,//no.wikipedia.org,nowiki,,8,200,a,,,,//no.wikipedia.org/static/images/project-logos/nowiki.png,https://no.wikipedia.org/static/favicon/wikipedia.ico,no.wikipedia.org,,0.3496
32,Turkish,tr,3353093,649520,9762,36155923,1730701,23,"2025-10-19 00:12:20",T&#252;rk&#231;e,43903,T&#252;rk&ccedil;e,5766,1.28.0-wmf.13,Anasayfa,https://tr.wikipedia.org/wiki/Anasayfa,Vikipedi,"MediaWiki 1.45.0-wmf.23",8.1.31,fpm-fcgi,mysql,10.6.20-MariaDB-log,,,,tr,,,UTC,,/wiki/$1,/w,/w/index.php,,//tr.wikipedia.org,trwiki,,8,200,a,,,,//tr.wikipedia.org/static/images/project-logos/trwiki.png,https://tr.wikipedia.org/static/favicon/wikipedia.ico,tr.wikipedia.org,,0.1937
152,Chechen,ce,1259073,639745,0,10911373,43219,3,"2025-10-19 00:12:18",&#1053;&#1086;&#1093;&#1095;&#1080;&#1081;&#1085;,334,&#1053;&#1086;&#1093;&#1095;&#1080;&#1081;&#1085;&#32;&#1084;&#1086;&#1090;&#1090;,89,1.28.0-wmf.13,"ÐšÐ¾ÑŒÑ€Ñ‚Ð° Ð°Ð³Ó€Ð¾",https://ce.wikipedia.org/wiki/%D0%9A%D0%BE%D1%8C%D1%80%D1%82%D0%B0_%D0%B0%D0%B3%D3%80%D0%BE,Ð’Ð¸ÐºÐ¸Ð¿ÐµÐ´Ð¸,"MediaWiki 1.45.0-wmf.23",8.1.31,fpm-fcgi,mysql,10.6.20-MariaDB-log,,,,ce,,,UTC,,/wiki/$1,/w,/w/index.php,,//ce.wikipedia.org,cewiki,,8,200,a,,,,//ce.wikipedia.org/static/images/project-logos/cewiki.png,https://ce.wikipedia.org/static/favicon/wikipedia.ico,ce.wikipedia.org,,0.5081
9,Finnish,fi,1557093,605719,396,23571160,618594,35,"2025-10-19 00:12:16",Suomi,79631,Suomen_kieli,3845,1.28.0-wmf.13,Wikipedia:Etusivu,https://fi.wikipedia.org/wiki/Wikipedia:Etusivu,Wikipedia,"MediaWiki 1.45.0-wmf.23",8.1.31,fpm-fcgi,mysql,10.6.20-MariaDB-log,,,,fi,,,Europe/Helsinki,,/wiki/$1,/w,/w/index.php,,//fi.wikipedia.org,fiwiki,,8,200,a,,,,//fi.wikipedia.org/static/images/project-logos/fiwiki.png,https://fi.wikipedia.org/static/favicon/wikipedia.ico,fi.wikipedia.org,,0.3890
36,Czech,cs,1614347,578773,42278,25270496,729547,33,"2025-10-19 00:12:14",&#268;e&#353;tina,1,&#268;e&#353;tina,5451,1.28.0-wmf.13,"HlavnÃ­ strana",https://cs.wikipedia.org/wiki/Hlavn%C3%AD_strana,Wikipedie,"MediaWiki 1.45.0-wmf.23",8.1.31,fpm-fcgi,mysql,10.6.20-MariaDB-log,,,,cs,,,Europe/Prague,,/wiki/$1,/w,/w/index.php,,//cs.wikipedia.org,cswiki,,8,200,a,,,,//cs.wikipedia.org/static/images/project-logos/cswiki.png,https://cs.wikipedia.org/static/favicon/wikipedia.ico,cs.wikipedia.org,,0.3585
15,Hungarian,hu,1597897,561807,6640,28413655,600039,24,"2025-10-19 00:12:12",Magyar,9372,Magyar_nyelv,1412,1.28.0-wmf.13,KezdÅ‘lap,https://hu.wikipedia.org/wiki/Kezd%C5%91lap,WikipÃ©dia,"MediaWiki 1.45.0-wmf.23",8.1.31,fpm-fcgi,mysql,10.6.20-MariaDB-log,,,,hu,,,Europe/Berlin,,/wiki/$1,/w,/w/index.php,,//hu.wikipedia.org,huwiki,,8,200,a,,,,//hu.wikipedia.org/static/images/project-logos/huwiki.png,https://hu.wikipedia.org/static/favicon/wikipedia.ico,hu.wikipedia.org,,0.3516
104,Tatar,tt,895814,560269,3,4637528,57332,6,"2025-10-19 00:12:07","Tatar&#231;a / &#1058;&#1072;&#1090;&#1072;&#1088;&#1095;&#1072;",6879,Tatar_tele,118,1.28.0-wmf.13,"Ð‘Ð°Ñˆ Ð±Ð¸Ñ‚",https://tt.wikipedia.org/wiki/%D0%91%D0%B0%D1%88_%D0%B1%D0%B8%D1%82,Wikipedia,"MediaWiki 1.45.0-wmf.23",8.1.31,fpm-fcgi,mysql,10.6.20-MariaDB-log,,,,tt,,,UTC,,/wiki/$1,/w,/w/index.php,,//tt.wikipedia.org,ttwiki,,8,200,a,,,,//tt.wikipedia.org/static/images/project-logos/ttwiki.png,https://tt.wikipedia.org/static/favicon/wikipedia.ico,tt.wikipedia.org,,0.6254
